Country,Daylight,Rank,Score,GDP/capita,Health,Freedom,Corruption,Generosity,Year,Social support,Region code,Region,Country code,Gender,Suicide rate,Low suicide rate,High suicide rate,Value,Mean suicide rate,Median suicide rate,Std suicide rate
Costa Rica,,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015,,AMR,Americas,CRI,Male,10.69,8.84,12.77,10.69 [8.84 – 12.77],10.26013351134849,7.48,11.194969511733015
Costa Rica,,12,7.226,0.95578,0.86027,0.63376,0.10583,0.25497,2015,,AMR,Americas,CRI,Both sexes,6.41,5.22,7.74,6.41 [5.22 – 7.74],10.26013351134849,7.48,11.194969511733015
Austria,1884.0,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015,,EUR,Europe,AUT,Male,17.91,15.71,20.34,17.91 [15.71 – 20.34],10.26013351134849,7.48,11.194969511733015
Austria,1884.0,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015,,EUR,Europe,AUT,Both sexes,11.39,9.89,13.05,11.39 [9.89 – 13.05],10.26013351134849,7.48,11.194969511733015
Austria,1884.0,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015,,EUR,Europe,AUT,Female,5.37,4.51,6.35,5.37 [4.51 – 6.35],10.26013351134849,7.48,11.194969511733015
Mexico,2596.25,14,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,2015,,AMR,Americas,MEX,Female,2.26,2.1,2.42,2.26 [2.1 – 2.42],10.26013351134849,7.48,11.194969511733015
Mexico,2596.25,14,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,2015,,AMR,Americas,MEX,Male,9.24,8.78,9.69,9.24 [8.78 – 9.69],10.26013351134849,7.48,11.194969511733015
Mexico,2596.25,14,7.187,1.02054,0.81444,0.48181,0.21312,0.14074,2015,,AMR,Americas,MEX,Both sexes,5.6,5.3,5.9,5.6 [5.3 – 5.9],10.26013351134849,7.48,11.194969511733015
United States,2827.62,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015,,AMR,Americas,USA,Male,19.86,19.06,25.87,19.86 [19.06 – 25.87],10.26013351134849,7.48,11.194969511733015
United States,2827.62,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015,,AMR,Americas,USA,Both sexes,12.86,12.33,16.05,12.86 [12.33 – 16.05],10.26013351134849,7.48,11.194969511733015
United States,2827.62,15,7.119,1.39451,0.86179,0.54604,0.1589,0.40105,2015,,AMR,Americas,USA,Female,6.05,5.77,6.31,6.05 [5.77 – 6.31],10.26013351134849,7.48,11.194969511733015
Brazil,2237.58,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015,,AMR,Americas,BRA,Female,2.57,2.37,2.78,2.57 [2.37 – 2.78],10.26013351134849,7.48,11.194969511733015
Brazil,2237.58,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015,,AMR,Americas,BRA,Male,8.9,8.3,15.09,8.9 [8.3 – 15.09],10.26013351134849,7.48,11.194969511733015
Brazil,2237.58,16,6.983,0.98124,0.69702,0.49049,0.17521,0.14574,2015,,AMR,Americas,BRA,Both sexes,5.6,5.21,8.84,5.6 [5.21 – 8.84],10.26013351134849,7.48,11.194969511733015
Luxembourg,1634.0,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015,,EUR,Europe,LUX,Male,13.03,10.23,16.38,13.03 [10.23 – 16.38],10.26013351134849,7.48,11.194969511733015
